compound	subset	sentence_type	expected_item	sequence_caption1	sequence_caption2	image1_name	image1_caption	image2_name	image2_caption	image3_name	image3_caption	image4_name	image4_caption
dead wood	Train	idiomatic	34634450516.png	The image shows two animated characters in a professional setting. The character on the left is wearing a black t-shirt with a logo on it and appears to be gesturing with his hands. The character on the right is dressed in a suit and tie, suggesting a formal or business environment. He is holding a tablet and seems to be explaining something to the other character. The setting includes a desk with a computer monitor and keyboard, indicating that they might be in an office or a workspace. 	The image shows an illustration of a man sitting at a desk with a computer monitor in front of him. He is wearing a suit and tie, suggesting a professional setting. The man is holding a microphone to his mouth, indicating that he might be engaged in a call or recording. There are various items on the desk, including a pen holder with pens, a notepad, and a computer mouse. The overall scene suggests a workspace where the man is likely involved in tasks that require communication and documentation. 	07774670073.png	The image shows an illustration of a pickup truck with a load of logs in its bed, parked on a grassy area with a small tree nearby. The truck appears to be in a muddy or wet condition, as indicated by the splashes of water and mud around it. The scene suggests a rural or outdoor setting, possibly after a rainfall or during a construction or landscaping project. 	30974911383.png	The image shows an illustration of a man sitting at a desk with a computer monitor in front of him. He appears to be engaged in some work or activity on the computer. The man is wearing a suit and tie, suggesting a professional setting. There are books on a shelf above the desk, and a cup of what looks like pens or pencils on the desk, indicating that this might be a workspace for someone who does a lot of writing or research. The overall style of the illustration is cartoonish and simplistic, with a limited color palette. 	34634450516.png	The image shows an animated character sitting at a desk with a computer monitor, keyboard, and mouse. The character is wearing glasses and a black jacket, and there are boxes and a potted plant on the desk. The style of the image is cartoonish and appears to be designed for a digital medium, possibly for a website, game, or other form of digital media. 	64548558763.png	The image shows an illustration of a person sitting at a table, eating a meal. The person is wearing glasses, a suit, and a tie, suggesting a formal or professional setting. The table is set with a plate of food, a drink, and some utensils. The background includes a light fixture and a plant, adding to the indoor dining atmosphere. 
panda car	Sample	idiomatic	53518854671.png	"The image shows a stylized illustration of a building with a variety of elements. On the ground floor, there is a police car parked in front of a storefront with a sign that reads ""PUDDY & VAM."" The storefront has a display of baked goods, including cakes and pastries. Above the storefront, there is a balcony with a satellite dish and a small tree. The building has a brick facade with arched windows and a flat roof. The overall style of the image is cartoonish and colorful, with a limited color palette. "	The image depicts a stylized urban scene with a focus on a street corner. There is a blue van parked on the side of the street, and a police car is stopped behind it. The police car has its emergency lights activated, suggesting that it is responding to an incident. The buildings in the background have a cartoonish, simplified design, with one building featuring a fire escape and a balcony. The overall style of the image is reminiscent of a scene from a video game or animated film. 	09757627857.png	The image shows a stylized illustration of a blue van parked inside a garage or workshop. The van is equipped with a roof rack and has a ladder on the side. The garage is filled with various items, including shelves with tools and equipment, and there's a red bucket on the floor. The overall setting suggests a space used for vehicle maintenance or storage. 	53518854671.png	The image shows a stylized illustration of a police car with its emergency lights activated, parked on the side of a road. Behind the police car, there is a blue van with a spare tire mounted on the back. The scene suggests a traffic stop or a roadside assistance situation. The artwork is done in a cartoon-like style, with a limited color palette and a simplified representation of the vehicles and the environment. 	55506566736.png	"The image shows an illustration of a police car parked next to a small house with a cat sitting on a branch of a tree. The police car has a ""POLICY"" label on its side, indicating it is a law enforcement vehicle. The setting appears to be a peaceful suburban scene, possibly suggesting a neighborhood watch or community policing initiative. "	83436219895.png	The image shows an animated character, a young girl with long black hair, wearing a yellow top with a bow and a plaid skirt. She is riding a small orange tricycle with a black seat. Next to her is a cute, stylized panda bear character. The background is plain and light-colored, which helps to focus attention on the characters. The overall style suggests a cartoon or animated film setting. 
bells and whistles	Train	idiomatic	67245826142.png	The image shows an animated character, a man with a beard, wearing an orange shirt. He is standing with his hand on his chin, as if he is deep in thought or contemplation. Behind him, there is a street scene with a car parked on the side of the road. The background features a clear sky with a few clouds. The style of the image is reminiscent of a comic or cartoon illustration. 	The image shows a stylized illustration of a blue Ford Mustang car. It's a side view of the vehicle, highlighting its design features such as the long hood, short rear deck, and the iconic Mustang badge on the trunk. The car is depicted with a sleek design, featuring alloy wheels and a sporty stance. 	13347315101.png	The image shows a stylized illustration of a person with a beard and mustache, wearing an orange shirt, sitting inside an orange car. The car is depicted in a simplified, cartoon-like style, with exaggerated features such as large wheels and a prominent front grille. The background is plain white, which highlights the subject. 	14117673687.png	The image shows an illustration of a man riding a bicycle on a street. He is wearing an orange t-shirt and black pants, and he appears to be in motion. The background features a residential area with houses and trees, suggesting a suburban setting. The man has a beard and is looking to the side, possibly observing something off-frame. The style of the illustration is flat with a limited color palette, which is common in vector art. 	67245826142.png	The image shows a stylized, animated character sitting in the driver's seat of a blue sports car. The character has a happy expression and is holding onto the steering wheel. The car has a sleek design with a prominent front grille and a spoiler on the rear. The background is plain white, which puts the focus on the character and the car. 	99146883793.png	The image shows an animated character, a man with a beard and mustache, wearing an orange shirt and holding a glass of red wine. He is smiling and appears to be in a good mood. The character is stylized with exaggerated features, which is common in cartoon and animation styles. 
swan song	Train	idiomatic	02819598764.png	"The image shows an animated character of a baseball player. He is wearing a white baseball uniform with red accents, a gray cap with a red ""P"" on it, and a black glove. He is holding a wooden baseball bat and appears to be walking away from a red picket fence. The character has a mustache and is depicted in a cartoon style. "	"The image shows an animated character of a baseball player in the middle of a swing. The character is depicted with a realistic style, wearing a baseball uniform with a ""F"" on the cap, which could suggest a team or a fictional character. The player is holding a baseball bat and is about to hit a baseball that is in mid-air. The background is a simple, plain white, which puts the focus on the character and the action of the swing. "	02819598764.png	"The image shows an animated character who appears to be a baseball player, standing on a baseball field with a bat in hand. The character is wearing a baseball uniform with the letter ""F"" on the cap, suggesting it might be a fictional or stylized representation rather than a specific real-life player. Behind the character, there is a crowd of people holding signs, which could imply a protest or a gathering of fans. The character's expression is one of concern or worry, and the overall scene seems to be a depiction of a moment of tension or anticipation. "	56958129295.png	The image depicts a stylized illustration of a baseball stadium with a large, blank screen in the center. The stadium is surrounded by a cityscape with various buildings, and the sky is clear with a few clouds. The perspective is from the third base side of the field, looking towards home plate. The image has a cartoon-like quality to it, with exaggerated lines and a limited color palette. 	72623646507.png	The image shows an animated scene featuring a large white swan with an orange beak, standing in a pond. The swan appears to be singing or calling out, as indicated by the musical notes floating around its head. In the background, there are trees and a variety of other animals, including a duck, a cat, and a bird, all looking towards the swan. The scene is whimsical and colorful, with a cartoon-like style. 	76582962139.png	"The image shows an illustration of an older man wearing a baseball cap with the number ""3"" on it, watching a baseball game on a television screen. The television screen displays a scene from a baseball game, with a player at bat and a crowd in the background. The man appears to be enjoying the game, as suggested by his focused gaze on the screen. "
silver bullet	Train	idiomatic	81032963569.png	"The image depicts a cartoon illustration of a meeting in an office setting. There is a man standing at the front of the room, holding a piece of paper and seemingly addressing the group. He appears to be the presenter or leader of the meeting. Behind him is a whiteboard with various charts and graphs, suggesting that the meeting is related to data analysis or business strategy.

In the foreground, there are three other individuals seated at a table. They are attentively looking towards the standing man, indicating that they are engaged in the discussion. The office environment is indicated by the presence of a clock on the wall, a desk with a laptop, and other office-related items. The overall atmosphere suggests a professional and collaborative environment. "	The image shows an animated character, a woman, standing in front of a door. She is smiling and appears to be holding a smartphone in her right hand. The woman is dressed in a business-casual style, with a blazer, a white shirt, and black pants. She is also wearing high heels and carrying a small clutch purse. The door has a glass panel, and the setting suggests an indoor environment, possibly an office or a residential building. 	40409074779.png	The image shows a stylized illustration of a woman. She has brown hair, is wearing a brown jacket, a white shirt, and black pants. She is holding a green cup with a white design, which could be a coffee cup, and is smiling. The illustration is done in a cartoon style with a limited color palette. 	79568847660.png	The image shows an animated character, a man, who appears to be relaxed and enjoying a sunny day at the beach. He is sitting in a beach chair with his feet up, wearing a suit and tie, and has a contented smile on his face. Behind him is a palm tree, and the background suggests a clear sky with a few clouds. The overall scene conveys a sense of leisure and relaxation. 	81032963569.png	The image depicts a cartoon illustration of a professional setting. There is a woman standing in the center, who appears to be leading a presentation or meeting. She is gesturing with her hands and smiling, suggesting she is engaging with the audience. On either side of her are two individuals seated at desks, attentively listening to her. The setting includes a projector screen, a desk with a computer, and office chairs. The overall atmosphere suggests a business or educational environment. 	86017186373.png	The image shows a single, silver-colored bullet casing. It appears to be a 38 caliber cartridge, which is commonly used in handguns. The casing is typically made of brass, but in this image, it is shown in a metallic silver finish. 
acid test	Sample	idiomatic	05014052511.png	The image shows four animated characters sitting at a table. They appear to be engaged in a discussion or meeting, with one character looking thoughtful, another with a hand on their chin, and the third with their hand on their mouth, suggesting they are listening or considering something. The fourth character is looking directly at the viewer. They all have glasses and are dressed in a style that suggests a professional or formal setting. The background is minimal, with a simple table and chairs, which puts the focus on the characters and their interaction. 	The image shows a group of four animated characters sitting around a table. They appear to be engaged in a discussion or meeting. The characters are stylized with exaggerated features, such as large eyes and stylized hair, which is common in certain types of animation. The setting suggests a professional or business environment, as indicated by the attire of the characters and the presence of a document on the table. 	02999364448.png	The image shows a stylized illustration of a laboratory setup. There is a test tube with a liquid inside, which appears to be a chemical reaction in progress. The test tube is connected to a flask with a stopcock, and the flask is releasing a gas or vapor that is being captured by a condenser. The condenser is releasing the condensed vapor into the air, which is depicted as bubbles. The overall scene suggests a scientific experiment or demonstration, possibly related to chemistry or physics. 	03477151572.png	The image shows an animated illustration of four people sitting around a table. They appear to be engaged in a social activity, possibly playing a board game or a card game, as suggested by the presence of what looks like a game board and playing cards on the table. The characters are stylized with exaggerated features, which is common in cartoon or animated art styles. They are smiling and seem to be enjoying themselves. The setting looks like a casual indoor environment, possibly a cafe or a home. 	05014052511.png	The image shows four animated characters, two women and two men, standing together and smiling. They appear to be in a professional setting, as suggested by their attire and the cityscape in the background. The characters are stylized with exaggerated features, which is common in cartoon or illustration styles. 	38194834716.png	The image shows four animated characters standing on a bench. They appear to be enjoying themselves, with smiles on their faces. The characters are stylized with exaggerated features, which is common in cartoon illustrations. The background suggests an urban setting with buildings and a clear sky. 
cutting edge	Sample	idiomatic	18122871103.png	The image shows an illustration of a man sitting at a desk with a computer monitor. He appears to be engaged in work or study, as indicated by the books and papers scattered around the desk. The man is wearing a suit and tie, suggesting a professional setting. The illustration is stylized with a limited color palette and has a cartoonish quality to it. 	The image shows an animated character, a man with a beard and a somewhat surprised or intense expression, sitting on the floor with a laptop. He appears to be in the middle of a task or perhaps experiencing a moment of frustration or realization. The character is depicted with a dynamic pose, suggesting movement or action. There are also small pieces of what looks like a broken object scattered around him, which adds to the sense of disarray or a sudden event. 	12000639474.png	The image shows an animated character, a man with a beard and mustache, sitting at a table with a cup of coffee and a bowl of food in front of him. He is dressed in a suit and tie, suggesting a formal or professional setting. The character appears to be smiling and enjoying his meal. The background is minimalistic, with a simple table and chair, which puts the focus on the character. 	18122871103.png	The image shows an animated character, a man with a beard and a hairstyle that appears to be styled upwards. He is dressed in a black suit and tie, and he is standing on a platform with a robot beside him. The robot has a white and orange color scheme and features a large head with two orange lights on the front, and it appears to be a small, humanoid robot. The setting is minimalistic, with a plain background that focuses attention on the characters. 	30034590394.png	The image shows an animated character who appears to be a bearded blacksmith or craftsman. He is holding a large hammer and is standing in front of a workbench with various tools and materials. There are pieces of wood, a bowl, and a bucket, suggesting that he might be working on a project that involves woodworking or metalworking. The character is depicted with a beard and mustache, and he is wearing a brown apron, which is typical attire for someone working with tools and materials. The background is simple and does not distract from the character and his work. 	59032852393.png	The image shows an animated character, a man with a beard and mustache, wearing a suit and tie. He is standing on a platform with a small, old-fashioned television set in front of him. The character is smiling and appears to be presenting or demonstrating something. The background is plain and white, which puts the focus on the character and the television. 
second nature	Train	literal	05292527040.png	The image shows a desolate landscape with two twisted, gnarled trees on either side of a path. The trees appear to be dead or dying, with their branches and foliage in a state of decay. The ground is covered with what looks like a mix of dirt, rocks, and possibly some vegetation. The sky is overcast, and the overall atmosphere of the image is one of desolation and abandonment. The path between the trees leads to a foggy or misty area in the distance, which adds to the sense of mystery and isolation. 	The image shows a stylized illustration of a rocket launch. The rocket is depicted with a large orange section at the bottom, which is likely meant to represent the engines, and a gray section above it, which is the main body of the rocket. The rocket is launching from a platform with a group of people standing in a line, watching the launch. The background is plain white, which emphasizes the rocket and the people. The image is likely meant to represent a space launch event. 	05292527040.png	The image shows an illustration of a rocket launch. The rocket is prominently in the center, with its nose pointed upwards, indicating that it is in the process of launching. Below the rocket, there is a group of people watching the launch. The setting appears to be a launchpad with trees in the background, suggesting a location where rockets are typically launched. The people are dressed in what looks like uniforms, which could imply they are part of a crew or team involved in the launch. The overall scene conveys a sense of excitement and anticipation. 	72221115010.png	The image shows an animated scene with three characters. On the left, there is a young boy sitting in a chair, looking at a drawing of a rocket on a whiteboard. In the center, another young boy is also sitting in a chair, looking at the same drawing. On the right, there is an adult male standing, smiling, and pointing at the rocket drawing. He appears to be explaining or teaching something related to the rocket. The setting suggests an educational or classroom environment. 	89339243623.png	The image shows an illustration of a cartoon turtle. It has a friendly expression with big, round eyes and a smiling mouth. The turtle is depicted with a patterned shell, and it's standing on a grassy area with small flowers and leaves around it. The overall style of the image is cute and whimsical, likely intended for a younger audience or for use in a children's book or animation. 	95518266520.png	The image shows an illustration of an older woman wearing a suit and tie, sitting at a desk with a laptop. She is wearing sunglasses over her eyes and has a determined or focused expression on her face. The style of the illustration is cartoonish and appears to be designed for a professional or business context. 
dutch courage	Train	literal	43914006500.png	The image shows a stylized illustration of a sailing ship with three masts. The ship is depicted with a full set of sails, and there are several crew members visible on the deck. The ship is floating on a body of water, and there are barrels and a tree on the shoreline in the foreground. The ship is also adorned with orange flags, which might indicate a specific status or affiliation. The overall style of the image is cartoonish and colorful, with a focus on the ship and its immediate surroundings. 	The image depicts a group of men in orange jumpsuits, which are often associated with prisoners or detainees, standing on a wooden platform that resembles the deck of a ship. They appear to be engaged in a discussion or a meeting. The setting suggests a historical or fictional context, possibly related to maritime history or a themed event. The men are drawn in a cartoon-like style, which gives the image a whimsical or stylized appearance. 	24038983758.png	The image depicts a stylized illustration of a traditional sailing ship with three masts, set against a backdrop of a clear sky and a calm sea. The ship is adorned with the British flag, indicating it may be a representation of a British vessel from a historical period, possibly the 18th or 19th century. On the deck of the ship, there are several crew members engaged in various tasks, such as loading barrels, which could suggest that the ship is being prepared for a voyage or is returning from one. The barrels are likely to contain goods such as food, water, or other provisions for the journey. The overall scene is idyllic and suggests a peaceful day at sea. 	34356604733.png	The image shows an animated character, a young boy with blonde hair, standing in front of a microphone and a television screen. The television screen displays a music note symbol, which is commonly associated with music or a music-related program. The boy appears to be singing or presenting, as suggested by the microphone and his smiling expression. 	43914006500.png	The image depicts a stylized illustration of a sailing ship with a crew of four men on the deck. They are wearing hats and orange shirts, which suggests they might be pirates or sailors from a historical period. The ship is equipped with multiple sails and is sailing on the ocean with a clear sky and a calm sea. In the background, there is another ship in the distance, and the overall scene conveys a sense of adventure and exploration. 	74658819974.png	The image shows a cartoon illustration of a group of men with bald heads, wearing orange jumpsuits, inside what appears to be a ship's hold. They are depicted with various expressions of exhaustion or discomfort, and some are holding onto ropes or the ship's structure. The art style is reminiscent of a comic or graphic novel, and the scene suggests a narrative of hardship or labor at sea. 
sour grapes	Sample	literal	31339756813.png	The image shows a cartoon of a young boy with blonde hair, wearing an orange sweater and black pants with orange stripes. He is holding a bunch of grapes in his left hand and appears to be reaching for more grapes on a vine. The background is plain white, which highlights the subject. The boy is smiling and seems to be enjoying the activity. 	The image shows an animated character, a young boy with blonde hair, holding a bunch of grapes in his hands. He appears to be looking at the grapes with a surprised or curious expression. The boy is wearing a red shirt, and the background is plain white, which puts the focus on the character and the grapes. 	31339756813.png	The image shows a stylized, cartoon-like illustration of a young boy with a surprised or shocked expression. He has blonde hair and is wearing an orange shirt. The artwork is detailed and colorful, with a focus on the boy's facial expression and the texture of his hair. 	34631823248.png	The image shows two animated characters, a boy and a girl, standing next to each other. The boy has a frown on his face and is holding his arms crossed, while the girl is holding a trophy and appears to be upset or disappointed. They seem to be in a competition or contest, as suggested by the trophy. The style of the animation is cartoonish and colorful. 	75735748577.png	"The image shows a bottle of wine with a label that reads ""Chteau"" followed by a name that is not fully visible. The label also features a graphic of a bunch of grapes and a green plant, which are common elements on wine labels to indicate the type of wine and its origin. The bottle is placed on a grassy surface, suggesting a natural or rural setting. The overall design is simple and elegant, typical of wine packaging. "	80393673919.png	The image shows a cartoon illustration of a young boy with a surprised or excited expression. He has short, spiky hair and is wearing a short-sleeved orange shirt and brown shorts. The boy is standing on grass and appears to be reaching out to a soccer ball that is on the ground in front of him. The style of the illustration is playful and colorful, typical of children's book illustrations. 
